Wall time,Step,Value
1588321183.8938777,430,0.5955947637557983
1588321187.5054407,460,0.6368919014930725
1588321218.9773252,720,0.820285975933075
1588321247.0143528,950,0.5939183831214905
1588321337.21274,1680,0.5268574953079224
1588321413.108963,2300,0.5489618182182312
1588321419.3751655,2350,0.5175722241401672
1588321445.459172,2560,0.5612601041793823
1588321467.387133,2740,0.5741268992424011
1588321545.4936607,3090,0.4856916666030884
1588321548.0133374,3110,0.4782235622406006
1588321558.1405134,3190,0.4583318829536438
1588321750.9545472,4750,0.4017998278141022
1588321827.229438,5370,0.4787011444568634
1588321879.4464939,5800,0.37242400646209717
1588321888.0518548,5870,0.46228930354118347
1588321980.6723204,6350,0.4315386414527893
1588321997.1411994,6480,0.45598679780960083
1588322079.3278008,7150,0.4206582307815552
1588322089.0577183,7230,0.48245033621788025
1588322187.4835303,8030,0.45821043848991394
1588322194.9396944,8090,0.4474295973777771
1588322229.7678914,8370,0.4836501479148865
1588322430.3641365,9720,0.48013582825660706
1588322482.723926,10150,0.4607924222946167
1588322546.158352,10670,0.479939341545105
1588322592.459707,11050,0.4369502067565918
1588322684.740139,11810,0.3813999891281128
1588322818.1554124,12620,0.5065017342567444
1588322886.1951897,13170,0.40317338705062866
1588322889.989166,13200,0.508742094039917
1588322907.361611,13340,0.3907383680343628
1588322912.1380768,13380,0.5388834476470947
1588322970.8228908,13860,0.477798193693161
1588322979.3745255,13930,0.3589765429496765
1588323033.3071012,14370,0.4055495262145996
1588323070.3967462,14670,0.48797351121902466
1588323211.8413467,15530,0.5211592316627502
1588323252.0351133,15850,0.5134879350662231
1588323385.408837,16920,0.3759523332118988
1588323438.274341,17350,0.4925326108932495
1588323441.947603,17380,0.5087559819221497
1588323608.6390274,18450,0.4832567274570465
1588323650.3277416,18780,0.49702274799346924
1588323700.0491214,19180,0.41431236267089844
1588323736.9733396,19480,0.34007197618484497
1588323847.4039218,20370,0.53179532289505
1588323921.5041475,20970,0.5330208539962769
1588324069.9594283,21880,0.4165489673614502
1588324084.7109559,22000,0.44715914130210876
1588324125.156878,22320,0.441856324672699
1588324163.454396,22630,0.44086524844169617
1588324219.695626,23080,0.38728830218315125
1588324320.664448,23900,0.5315169095993042
1588324412.0881522,24370,0.4507717490196228
1588324433.0653155,24540,0.4360310435295105
1588324435.5557914,24560,0.4637673497200012
1588324441.8086948,24610,0.5050265192985535
1588324473.2202563,24860,0.3849569857120514
1588324474.4548163,24870,0.39278942346572876
1588324489.0516794,24990,0.43840765953063965
1588324495.1877384,25040,0.48354923725128174
1588324530.3458545,25330,0.44106996059417725
1588324719.4325786,26860,0.4899624288082123
1588324824.064902,27410,0.41753536462783813
1588325107.4497528,29680,0.38323068618774414
1588325228.5324438,30390,0.3630236089229584
1588325232.207931,30420,0.4292210340499878
1588325377.9706688,31620,0.3287193775177002
1588325462.9656825,32310,0.504206120967865
1588325482.9891052,32470,0.4621592164039612
1588325484.1495378,32480,0.3475537598133087
1588325589.7362542,33060,0.38977885246276855
1588325808.2369616,34810,0.4718758165836334
1588326012.6483433,36190,0.4176930785179138
1588326015.0626402,36210,0.49923044443130493
1588326076.7422729,36710,0.46504899859428406
1588326165.2857618,37420,0.4768211245536804
1588326254.9109604,38150,0.38062554597854614
1588326263.8974552,38220,0.5228657722473145
1588326430.2642796,39290,0.42708879709243774
1588326465.1390707,39570,0.47460392117500305
1588326563.9311798,40370,0.48977378010749817
1588326644.3377297,40990,0.4063466489315033
1588326768.1045945,41970,0.4556354284286499
1588326845.627571,42330,0.4046028256416321
1588326950.2533324,43180,0.405300498008728
1588327054.7456143,44010,0.493557870388031
1588327169.8784466,44930,0.4462510347366333
1588327223.4983575,45100,0.41842612624168396
1588327249.4990873,45310,0.47802454233169556
1588327420.2526774,46650,0.3939483165740967
1588327425.3729494,46690,0.4976200759410858
1588327435.9491131,46770,0.3255223333835602
1588327577.9113648,47890,0.36669594049453735
1588327628.9370368,48030,0.4037059545516968
1588327676.3480394,48410,0.4100252091884613
1588327744.5105166,48950,0.4104810357093811
1588327842.4574096,49720,0.3497321605682373
1588327940.3516705,50510,0.43497759103775024
1588327942.967522,50530,0.5265851616859436
1588328039.127501,51070,0.42996713519096375
1588328071.9185202,51350,0.40083226561546326
1588328314.9246902,53460,0.3592490255832672
1588328330.9888515,53600,0.4407642185688019
1588328433.317068,54210,0.3750956654548645
1588328582.8504753,55500,0.4453481435775757
1588328731.6340337,56800,0.45769041776657104
1588328813.900049,57240,0.43450790643692017
1588328911.343315,58090,0.40771716833114624
1588328975.6593091,58650,0.3716921806335449
1588328983.8521318,58720,0.37840408086776733
1588329024.945319,59080,0.4266466200351715
1588329119.664534,59910,0.4140342175960541
1588329311.8846943,61320,0.32443660497665405
1588329391.6268554,62010,0.4315294027328491
1588329413.6198514,62200,0.4050006866455078
1588329494.7766688,62900,0.44293224811553955
1588329552.6797583,63130,0.39515742659568787
1588329626.7096822,63770,0.5092625617980957
1588329793.361115,65210,0.41780853271484375
1588329855.8880944,65750,0.3856056034564972
1588329919.4445386,66040,0.39852213859558105
1588330022.4995787,66970,0.34127676486968994
